"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2024","10,250","10,325","10,475","10,250","97.55M","-0.97%"
"10/30/2024","10,350","10,275","10,400","10,275","114.48M","-1.43%"
"10/29/2024","10,500","10,525","10,575","10,500","49.68M","-0.94%"
"10/28/2024","10,600","10,825","10,825","10,600","39.06M","-1.40%"
"10/25/2024","10,750","10,650","10,750","10,625","34.85M","0.47%"
"10/24/2024","10,700","10,725","10,850","10,700","85.34M","0.47%"
"10/23/2024","10,650","10,475","10,650","10,475","48.90M","1.43%"
"10/22/2024","10,500","10,475","10,600","10,475","94.80M","-1.64%"
"10/21/2024","10,675","10,850","10,850","10,675","36.47M","-0.70%"
"10/18/2024","10,750","10,875","10,875","10,725","56.30M","0.23%"
"10/17/2024","10,725","10,550","10,800","10,500","66.99M","2.39%"
"10/16/2024","10,475","10,700","10,725","10,475","63.26M","-1.41%"
"10/15/2024","10,625","10,550","10,625","10,450","66.64M","1.19%"
"10/14/2024","10,500","10,375","10,500","10,375","31.74M","1.20%"
"10/11/2024","10,375","10,575","10,575","10,375","44.63M","-1.19%"
"10/10/2024","10,500","10,425","10,500","10,400","51.08M","0.72%"
"10/09/2024","10,425","10,400","10,525","10,400","56.84M","0.24%"
"10/08/2024","10,400","10,200","10,500","10,150","99.62M","0.97%"
"10/07/2024","10,300","10,350","10,375","10,250","91.87M","-1.67%"
"10/04/2024","10,475","10,400","10,475","10,350","58.50M","0.24%"
"10/03/2024","10,450","10,450","10,525","10,400","60.89M","-0.48%"
"10/02/2024","10,500","10,325","10,550","10,325","86.75M","-0.47%"
"10/01/2024","10,550","10,400","10,550","10,375","59.80M","2.18%"
"09/30/2024","10,325","10,475","10,550","10,325","144.69M","-3.05%"
"09/27/2024","10,650","10,500","10,750","10,400","93.03M","-0.47%"
"09/26/2024","10,700","10,875","10,875","10,675","84.96M","-1.38%"
"09/25/2024","10,850","10,675","10,850","10,525","158.37M","0.46%"
"09/24/2024","10,800","10,775","10,950","10,775","105.19M","-1.37%"
"09/23/2024","10,950","10,725","10,950","10,725","72.55M","1.62%"
"09/20/2024","10,775","10,900","10,900","10,775","142.19M","-1.15%"
"09/19/2024","10,900","10,700","10,900","10,650","140.89M","2.59%"
"09/18/2024","10,625","10,500","10,625","10,450","65.42M","1.19%"
"09/17/2024","10,500","10,450","10,500","10,350","89.75M","0.72%"
"09/13/2024","10,425","10,400","10,425","10,325","70.06M","-0.48%"
"09/12/2024","10,475","10,450","10,500","10,375","70.76M","0.48%"
"09/11/2024","10,425","10,425","10,425","10,350","64.62M","0.72%"
"09/10/2024","10,350","10,350","10,350","10,275","55.09M","0.73%"
"09/09/2024","10,275","10,300","10,350","10,200","36.19M","-0.24%"
"09/06/2024","10,300","10,225","10,300","10,225","31.54M","0.49%"
"09/05/2024","10,250","10,350","10,350","10,250","39.33M","-0.49%"
"09/04/2024","10,300","10,150","10,300","10,125","44.82M","1.23%"
"09/03/2024","10,175","10,325","10,325","10,150","50.95M","-0.97%"
"09/02/2024","10,275","10,375","10,375","10,200","72.01M","-0.48%"
"08/30/2024","10,325","10,325","10,325","10,200","158.40M","0.98%"
"08/29/2024","10,225","10,500","10,500","10,225","53.00M","-1.21%"
"08/28/2024","10,350","10,300","10,350","10,250","38.49M","1.47%"
"08/27/2024","10,200","10,275","10,300","10,175","60.45M","-1.21%"
"08/26/2024","10,325","10,275","10,375","10,250","35.15M","0.00%"
"08/23/2024","10,325","10,325","10,375","10,300","46.65M","0.00%"
"08/22/2024","10,325","10,350","10,400","10,225","56.61M","-0.96%"
"08/21/2024","10,425","10,500","10,500","10,425","84.85M","0.00%"
"08/20/2024","10,425","10,325","10,450","10,300","60.30M","0.48%"
"08/19/2024","10,375","10,325","10,425","10,275","51.05M","0.48%"
"08/16/2024","10,325","10,300","10,325","10,250","40.73M","0.98%"
"08/15/2024","10,225","10,200","10,300","10,175","33.40M","0.25%"
"08/14/2024","10,200","10,300","10,300","10,200","48.00M","-0.97%"
"08/13/2024","10,300","10,250","10,300","10,175","55.21M","0.98%"
"08/12/2024","10,200","10,100","10,200","10,075","40.36M","0.49%"
"08/09/2024","10,150","10,225","10,250","10,100","47.06M","-0.73%"
"08/08/2024","10,225","10,150","10,225","10,075","54.16M","1.24%"
"08/07/2024","10,100","10,000","10,100","10,000","52.35M","1.00%"
"08/06/2024","10,000","10,075","10,075","9,950","78.47M","1.27%"
"08/05/2024","9,875","10,000","10,150","9,875","126.33M","-3.19%"
"08/02/2024","10,200","10,275","10,350","10,200","55.77M","-1.69%"
"08/01/2024","10,375","10,200","10,375","10,200","61.18M","0.97%"
"07/31/2024","10,275","10,350","10,350","10,225","82.52M","0.98%"
"07/30/2024","10,175","10,300","10,300","10,175","32.20M","-0.73%"
"07/29/2024","10,250","10,400","10,425","10,175","69.09M","-0.73%"
"07/26/2024","10,325","10,375","10,400","10,300","75.57M","0.24%"
"07/25/2024","10,300","10,225","10,300","10,200","98.09M","2.23%"
"07/24/2024","10,075","10,125","10,175","10,075","24.66M","-0.98%"
"07/23/2024","10,175","10,200","10,200","10,125","39.32M","0.74%"
"07/22/2024","10,100","10,125","10,150","10,100","31.29M","-0.25%"
"07/19/2024","10,125","10,050","10,125","9,975","53.88M","0.25%"
"07/18/2024","10,100","9,800","10,100","9,800","65.38M","3.06%"
"07/17/2024","9,800","9,900","9,950","9,800","90.67M","-1.51%"
"07/16/2024","9,950","9,975","10,025","9,950","37.19M","-1.00%"
"07/15/2024","10,050","10,050","10,075","9,950","36.68M","-0.25%"
"07/12/2024","10,075","10,050","10,100","10,025","79.03M","0.00%"
"07/11/2024","10,075","10,000","10,125","10,000","55.91M","-0.25%"
"07/10/2024","10,100","10,175","10,225","10,050","62.33M","0.25%"
"07/09/2024","10,075","10,100","10,150","10,075","61.85M","0.25%"
"07/08/2024","10,050","10,000","10,050","9,950","72.90M","1.01%"
"07/05/2024","9,950","9,925","9,975","9,875","36.95M","1.27%"
"07/04/2024","9,825","9,975","10,000","9,825","67.05M","-1.75%"
"07/03/2024","10,000","9,975","10,000","9,925","55.86M","1.01%"
"07/02/2024","9,900","10,000","10,000","9,850","78.85M","0.25%"
"07/01/2024","9,875","9,850","9,900","9,825","68.63M","-0.50%"
"06/28/2024","9,925","9,800","9,975","9,775","166.17M","1.79%"
"06/27/2024","9,750","9,575","9,750","9,550","89.15M","2.63%"
"06/26/2024","9,500","9,525","9,650","9,450","77.91M","-1.04%"
"06/25/2024","9,600","9,600","9,600","9,450","80.03M","0.00%"
"06/24/2024","9,600","9,600","9,750","9,575","79.59M","0.00%"
"06/21/2024","9,600","9,475","9,675","9,400","167.76M","1.86%"
